year;month;cases;death;calculated_death;officcial_death_per_100k;calculated_death_per_100k;cases_per_100k;cases
2020;2;817;4;192;0,030534351;1,465648855;6,236641221;817
2020;3;47609;475;-189;3,625954198;-1,442748092;363,4274809;47609
2020;4;125071;1775;1904;13,54961832;14,53435115;954,740458;125071
2020;5;46574;1484;5865;11,32824427;44,77099237;355,5267176;46574
2020;6;19244;683;3894;5,213740458;29,72519084;146,9007634;19244
2020;7;21046;365;1283;2,786259542;9,79389313;160,6564885;21046
2020;8;27632;394;1488;3,007633588;11,35877863;210,9312977;27632
2020;9;121029;1398;1641;10,67175573;12,52671756;923,8854962;121029
2020;10;183393;2178;3343;16,6259542;25,51908397;1399,946565;183393
2020;11;200042;2233;4770;17,04580153;36,41221374;1527,038168;200042
2020;12;130102;2248;6054;17,16030534;46,21374046;993,1450382;130102
2021;1;55917;1818;5288;13,8778626;40,36641221;426,8473282;55917
2021;2;44075;1443;2986;11,01526718;22,79389313;336,4503817;44075
2021;3;64383;1704;2801;13,00763359;21,38167939;491,4732824;64383
2021;4;83462;1738;2873;13,26717557;21,93129771;637,1145038;83462
2021;5;175787;2270;3857;17,32824427;29,44274809;1341,885496;175787
2021;6;149592;3188;7174;24,33587786;54,76335878;1141,923664;149592
2021;7;67733;1901;7846;14,51145038;59,89312977;517,0458015;67733
2021;8;63410;1554;3269;11,86259542;24,95419847;484,0458015;63410
2021;9;168092;2205;2343;16,83206107;17,88549618;1283,145038;168092
2021;10;145485;2954;4360;22,54961832;33,28244275;1110,572519;145485
2021;11;83051;2549;6867;19,45801527;52,41984733;633,9770992;83051
2021;12;259870;2173;3989;16,58778626;30,45038168;1983,740458;259870
2022;1;413328;2542;3317;19,40458015;25,32061069;3155,175573;413328
2022;2;40049;1354;4824;10,33587786;36,82442748;305,7175573;40049
2022;3;22850;578;1139;4,41221374;8,694656489;174,4274809;22850
2022;4;10258;489;-786;3,732824427;-6;78,30534351;10258
2022;5;6973;417;-503;3,183206107;-3,839694656;53,22900763;6973
2022;6;34700;319;-318;2,435114504;-2,427480916;264,8854962;34700
2022;7;199451;620;-1104;4,732824427;-8,427480916;1522,526718;199451
2022;8;177966;924;271;7,053435115;2,06870229;1358,519084;177966
2022;9;39808;606;496;4,625954198;3,786259542;303,8778626;39808
2022;10;25697;373;-664;2,847328244;-5,06870229;196,1603053;25697
2022;11;41543;479;322;3,65648855;2,458015267;317,1221374;41543
2022;12;45854;418;812;3,190839695;6,198473282;350,0305344;45854
