Год;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь ;Декабрь
2006;11814;10291;11545;9951;10817;10427;9661;10071;10277;10939;10627;10622
2007;11644;10015;11036;10213;10889;9606;9644;10098;9595;10837;10350;10403
2008;11622;10151;10965;10558;10411;9840;10062;9472;10396;10501;9502;10824
2009;11186;9956;10660;10185;9548;9598;9516;8905;9476;10613;9923;10547
2010;10430;9573;10528;9591;9482;9529;14340;15016;9573;9350;9091;9664
2011;10335;9219;10067;9483;9424;8801;9111;9476;9325;9830;9692;9660
2012;10354;10010;10317;9695;9690;9167;9193;9184;9233;10493;9577;10576
2013;11184;9396;10084;9894;9724;8520;9384;9261;9210;10143;9434;9967
2014;10311;9235;10256;9884;10219;8924;9547;9054;9821;10315;9042;10783
2015;11042;10146;10886;10271;9742;9639;9612;9476;9815;10554;9962;10809
2016;11673;10203;10221;9904;10094;9710;9349;10034;9836;10333;10186;12080
2017;11858;9304;10139;9517;9935;9300;9658;9618;9410;10479;9637;10111
2018;10733;9865;11681;10825;9808;9756;9483;9653;9244;10701;9918;9886
2019;12037;9674;10054;9900;9998;9268;10057;9602;9718;10456;9726;10558
2020;10913;9864;10223;11834;15713;13126;10771;10972;11153;13710;14456;16546
2021;16347;12658;13213;12803;13705;16406;17334;12753;11855;14727;16553;14481
2022;14376;14496;11551;9144;9345;8914;8384;9755;10008;9703;10008;11304
2023;10466;8852;9914;9015;9730;9001;8768;9068;9275;9925;9902;11947
2024;11689;9682;9849;9514;9773;8429;;;;;;
